id	htid	person_id	author1_normalized	author1	author2	author3	author4	title	imprint	date	place	isbn	oclc	lccn
7175	mdp.39015012409382	3660	Cheever, John	Cheever, John.	null	null	null	Some people, places, and things that will not appear in my next novel.	Harper [1961]	1961	nyu	[]	['282880']	['61007579/L']
7176	uc1.b4951713	3349	Cassill, R. V.	Cassill, R. V. (Ronald Verlin) 1919-2002	null	null	null	The Goss women [by] R. V. Cassill.	Doubleday, 1974.	1974	nyu	['9780385075534', '0385075537']	['827529']	['73083619']
7177	mdp.39015019997025	3349	Cassill, R. V.	Cassill, R. V. (Ronald Verlin) 1919-2002	null	null	null	Doctor Cobb's game, by R. V. Cassill.	B. Geis Associates, distributed by World Pub. Co. [1970]	1970	nyu	[]	['101372']	['72122880//r84']
7178	mdp.39015010762436	1389	Shacochis, Bob	Shacochis, Bob.	null	null	null	Easy in the islands : stories / by Bob Shacochis.	Crown Publishers, c1985.	1985	nyu	['0517555492']	['10995972']	['84015570']
7179	mdp.39015013102416	3645	Chasin, Helen	Chasin, Helen.	null	null	null	Coming close, and other poems. Foreword by Dudley Fitts.	Yale University Press, 1968.	1968	ctu	[]	['438088']	['68013900']
7180	mdp.39015011322818	87	Levine, Philip	Levine, Philip 1928-	null	null	null	Sweet will : poems / by Philip Levine.	Atheneum, 1985.	1985	nyu	['0689115857']	['12145833']	['84045781']
7181	mdp.39015010839002	3683	Carver, Raymond	Carver, Raymond 1938-1988	null	null	null	Where water comes together with other water : poems / by Raymond Carver.	Random House, c1985.	1985	nyu	['0394544706 :']	['11399893']	['84042998']
7182	mdp.39015011012666	3198	Hannah, Barry	Hannah, Barry.	null	null	null	Captain Maximus : stories / by Barry Hannah.	Knopf, 1985.	1985	nyu	['0394544587 :']	['11518889']	['84048738']
7183	mdp.39015012271469	1000	Galvin, James	Galvin, James.	Bell, Marvin 1937-	null	null	God's mistress / James Galvin ; selected by Marvin Bell.	Harper & Row, c1984.	1984	nyu	['0060911468 (pbk.) :,006015294X :']	['10099699']	['83048788']
7184	mdp.39015010906249	609	Schultz, Philip	Schultz, Philip.	null	null	null	Deep within the ravine : poems / by Philip Schultz.	Viking, 1984.	1984	nyu	['0670266094 :']	['12080321']	['83040641']
7185	mdp.39015009308423	5	Bly, Robert	Bly, Robert.	null	null	null	Loving a woman in two worlds / Robert Bly.	Dial Press, 1985.	1985	nyu	['0385274181 :']	['10878444']	['84012704']
7186	mdp.39015002385493	87	Levine, Philip	Levine, Philip 1928-	null	null	null	They feed they lion : poems / by Philip Levine.	Atheneum, 1972.	1972	nyu	[]	['267455']	['74183612']
7187	mdp.39015001145328	87	Levine, Philip	Levine, Philip 1928-	null	null	null	1933; poems.	Atheneum, 1974.	1974	nyu	['068910586X']	['1366876']	['73088297']
7188	mdp.39015002385311	87	Levine, Philip	Levine, Philip 1928-	null	null	null	5 Detroits.	Unicorn Press [1970]	1970	cau	[]	['324232']	['75080964']
7189	mdp.39015016435441	4337	Kentfield, Calvin	Kentfield, Calvin 1924-	null	null	null	The angel and the sailor : a novella and nine stories / by Calvin Kentfield.	McGraw-Hill, 1957.	1957	nyu	[]	['3022529']	['57006399']
7190	uc1.b3711209	3084	Krim, Seymour	Krim, Seymour 1922-	null	null	null	Views of a nearsighted cannoneer. Foreword by Norman Mailer.	Excelsior Press [1961]	1961	nyu	[]	['635558']	['61003778/L']
7191	mdp.39015030717212	44	Tiempo, Edilberto K.	Tiempo, Edilberto K.	null	null	null	The standard-bearer : a novel.	New Day Publishers, 1985.	1985	ph	['971100237x']	['13593978']	[]
7192	mdp.39015010737941	3855	Dubus, Andre	Dubus, Andre 1936-1999	null	null	null	We don't live here anymore : the novellas of Andre Dubus.	Crown, c1984.	1984	nyu	['0517553627 (pbk.) :']	['10277490']	['83026215']
7193	mdp.39015059571912	287	Dobyns, Stephen	Dobyns, Stephen 1941-	null	null	null	Black dog, red dog : poems / by Stephen Dobyns.	Holt, Rinehart and Winston, c1984.	1984	nyu	['0030710774']	['10020295']	['83018611']
7194	uc1.b3687459	3083	Engle, Paul	Engle, Paul 1908-	null	null	null	The word of love. [Poems]	Random House [1951]	1951	nyu	[]	['1394740']	['51010256']
7195	uc1.b3687456	3083	Engle, Paul	Engle, Paul 1908-	null	null	null	Poems in praise.	Random House [1959]	1959	nyu	[]	['1690495']	['59010822']
7196	mdp.39015012159532	975	Twichell, Chase	Twichell, Chase 1950-	null	null	null	The odds / Chase Twichell.	University of Pittsburg Press, c1986.	1986	pau	['0822935287 (hard),0822953773 (pbk.)']	['12695393']	['85022562']
7197	uc1.b3687452	3083	Engle, Paul	Engle, Paul 1908-1991	null	null	null	American child; sonnets for my daughters, with thirty-six new poems.	Dial Press [1956]	1956	nyu	[]	['283625']	['56009509/L']
7198	uc1.$b100775	3083	Engle, Paul	Engle, Paul 1908-1991	null	null	null	Always the land / Paul Engle.	Random House, c1941.	1941	nyu	[]	['1147262']	['41003535']
7199	mdp.39015050800997	3083	Engle, Paul	Engle, Paul 1908-1991	null	null	null	American song,  a book of poems,	Doubleday, Doran & company, inc.,  1934.	1934	nyu	[]	['1347633,214880374']	['34027209']
7200	mdp.39015031229399	76	Dickey, William	Dickey, William.	null	null	null	Interpreter's house; [poems]	Ohio State University Press [1963]	1963	ohu	[]	['283098']	['63020466']
7201	uc1.b4105006	76	Dickey, William	Dickey, William.	null	null	null	Of the festivity. Foreword by W. H. Auden.	Yale University Press, 1959	1959	ctu	[]	['1062313']	['59006795/L']
7202	umn.31951000755980l	3162	Turco, Lewis	Turco, Lewis.	Turco, Lewis.	null	null	The new book of forms : a handbook of poetics / Lewis Turco.	University Press of New England, 1986.	1986	nhu	['0874513812 (pbk.) :', '0874513804 :']	['13359091']	['86040116']
7203	mdp.39015013433761	3124	Yates, Richard	Yates, Richard 1926-	Dickes, Andre former owner.	Victor, Thomas photographer.	Gould, Peter K. former owner.	Cold Spring Harbor / Richard Yates.	Delacorte Press/Seymour Lawrence, c1986.	1986	nyu	['0385295022']	['13123048']	['86002095']
7204	mdp.39015009288427	3690	McPherson, Sandra	McPherson, Sandra.	null	null	null	Radiation.	Ecco Press; [distributed by Viking Press, 1973]	1973	nyu	['0912946040 :']	['814638']	['73081356']
7205	mdp.39015009111348	3690	McPherson, Sandra	McPherson, Sandra.	null	null	null	Elegies for the hot season.	Indiana University Press [1970]	1970	inu	[]	['79259']	['79108214']
7206	mdp.39015010418542	3640	Grumbach, Doris	Grumbach, Doris.	null	null	null	The company she kept.	Coward-McCann [1967]	1967	nyu	[]	['387837']	['66026531//r85']
