htid	title_id	title	author	year	first_week	debut_rank	best_rank
uc1.32106015297184	6280	THE SHELTERING SKY	Paul Bowles	1950	1950-01-01	2	9
mdp.39015054402741	6281	THE SHELTERS OF STONE	Jean M. Auel	2002	2002-05-19	12	1
uc1.$b86151	6286	THE SHINING TIDES	Win Brooks	1952	1952-08-03	11	10
uc1.b3687218	6286	THE SHINING TIDES	Win Brooks	1952	1952-08-03	11	10
mdp.39015050822090	6289	THE SHOES OF THE FISHERMAN	Morris L. West	1963	1963-06-09	13	1
uc1.b4410369	6289	THE SHOES OF THE FISHERMAN	Morris L. West	1963	1963-06-09	13	1
mdp.39015054378032	6291	THE SHORT FOREVER	Stuart Woods	2002	2002-05-05	4	8
mdp.39015004856194	6292	THE SHORT REIGN OF PIPPIN IV	John Steinbeck	1957	1957-05-05	9	7
uc1.b4086712	6292	THE SHORT REIGN OF PIPPIN IV	John Steinbeck	1957	1957-05-05	9	7
mdp.39015020676592	6293	THE SICILIAN	Mario Puzo	1984	1984-11-18	3	1
uc1.$b104309	6294	THE SIDE OF THE ANGELS	Alexander Fedoroff	1960	1960-12-25	1	16
uc1.b3688219	6297	THE SIGN OF JONAH	Nancy Hale	1950	1950-11-12	2	13
mdp.39015031238010	6297	THE SIGN OF JONAH	Nancy Hale	1950	1950-11-12	2	13
uc1.$b101888	6297	THE SIGN OF JONAH	Nancy Hale	1950	1950-11-12	2	13
pst.000063462524	6309	THE SILVER BEARS	Paul E. Erdman	1974	1974-08-25	9	8
mdp.39015024078589	6310	THE SILVER CHALICE	Thomas B. Costain	1952	1952-08-03	14	1
uc1.b3688102	6310	THE SILVER CHALICE	Thomas B. Costain	1952	1952-08-03	14	1
mdp.39015059970684	6315	THE SINNER	Tess Gerritsen	2003	2003-09-07	11	4
mdp.39015058362727	6319	THE SISTERS	Myron Brinig	1937	1937-02-22	6	2
uc1.$b86170	6319	THE SISTERS	Myron Brinig	1937	1937-02-22	6	2
uc1.$b105614	6323	THE SIXTH OF JUNE	Lionel Shapiro	1955	1955-08-28	14	7
mdp.39015003676981	6328	THE SKY AND THE FOREST	C.S. Forester	1948	1948-09-05	5	10
mdp.39015064984480	6331	THE SLEEPING DOLL	Jeffery Deaver	2007	2007-06-24	11	15
mdp.39015073389911	6334	THE SLING AND THE ARROW	Stuart David Engstrand	1947	1947-06-08	2	9
mdp.39015043199085	6334	THE SLING AND THE ARROW	Stuart David Engstrand	1947	1947-06-08	2	9
uc1.b4088774	6337	THE SMALL ROOM	May Sarton	1961	1961-10-01	15	13
